,Distractor,Last,Target,Words
0,2,0,2,Mile
1,2,0,1,Centimeter
2,2,1,1,Inch
3,2,0,2,Foot
4,2,0,1,Meter
5,2,0,1,Yard
6,2,0,1,Dog
7,2,0,1,Cat
8,2,0,2,Tiger
9,2,1,1,Horse
10,3,1,2,Lion
11,2,0,2,Cow
12,1,0,2,Germany
13,2,1,1,Russia
14,2,0,1,Canada
15,1,0,1,France
16,2,1,1,England
17,2,0,1,Mexico
18,2,0,1,Red
19,1,0,1,Green
20,1,0,2,Blue
21,2,0,2,Yellow
22,2,0,1,Black
23,2,0,1,Orange
24,1,0,2,Zinc
25,2,0,2,Tin
26,2,0,1,Steel
27,1,0,2,Iron
28,1,0,1,Copper
29,1,0,1,Platinum
30,2,0,2,Sister
31,1,0,1,Mother
32,2,0,1,Brother
33,2,1,2,Aunt
34,2,1,1,Father
35,1,0,1,Uncle
